Rainfall,Year,Month,Area
46.2,2010,September,New South Wales
104.4,2010,October,New South Wales
127.2,2010,November,New South Wales
109.8,2010,December,New South Wales
76.6,2011,January,New South Wales
17.2,2011,February,New South Wales
236.6,2011,March,New South Wales
201.6,2011,April,New South Wales
144.6,2011,May,New South Wales
87.4,2011,June,New South Wales
293.4,2011,July,New South Wales
46.6,2011,August,New South Wales
73.2,2011,September,New South Wales
40.6,2011,October,New South Wales
172.2,2011,November,New South Wales
90,2011,December,New South Wales
134.6,2012,January,New South Wales
174.6,2012,February,New South Wales
243,2012,March,New South Wales
173.8,2012,April,New South Wales
41.2,2012,May,New South Wales
274.4,2012,June,New South Wales
86.8,2012,July,New South Wales
20.6,2012,August,New South Wales
26.4,2012,September,New South Wales
34,2012,October,New South Wales
50.1,2012,November,New South Wales
45.2,2012,December,New South Wales
174.8,2013,January,New South Wales
177.6,2013,February,New South Wales
67,2013,March,New South Wales
183.7,2013,April,New South Wales
81.9,2013,May,New South Wales
349.8,2013,June,New South Wales
59.5,2013,July,New South Wales
17.8,2013,August,New South Wales
98.4,2013,September,New South Wales
45.6,2013,October,New South Wales
209.2,2013,November,New South Wales
77.4,2013,December,New South Wales
28.1,2014,January,New South Wales
67,2014,February,New South Wales
147.6,2014,March,New South Wales
130.1,2014,April,New South Wales
40.8,2014,May,New South Wales
102.2,2014,June,New South Wales
14.4,2014,July,New South Wales
240.6,2014,August,New South Wales
78.2,2014,September,New South Wales
96.2,2014,October,New South Wales
29.4,2014,November,New South Wales
111.7,2014,December,New South Wales
191.8,2015,January,New South Wales
62.4,2015,February,New South Wales
66.7,2015,March,New South Wales
400.6,2015,April,New South Wales
118.9,2015,May,New South Wales
134.6,2015,June,New South Wales
67.1,2015,July,New South Wales
77.9,2015,August,New South Wales
122.6,2015,September,New South Wales
34.8,2015,October,New South Wales
126.2,2015,November,New South Wales
136,2015,December,New South Wales
277.9,2016,January,New South Wales
78.4,2016,February,New South Wales
228.3,2016,March,New South Wales
69,2016,April,New South Wales
11.8,2016,May,New South Wales
301.6,2016,June,New South Wales
105.7,2016,July,New South Wales
148.2,2016,August,New South Wales
86.8,2016,September,New South Wales
41.4,2016,October,New South Wales
28.8,2016,November,New South Wales
61.4,2016,December,New South Wales
63.2,2017,January,New South Wales
185,2017,February,New South Wales
245.7,2017,March,New South Wales
95.4,2017,April,New South Wales
56.5,2017,May,New South Wales
176,2017,June,New South Wales
23,2017,July,New South Wales
32.6,2017,August,New South Wales
2,2017,September,New South Wales
64.2,2017,October,New South Wales
89.5,2017,November,New South Wales
55,2017,December,New South Wales
49.9,2018,January,New South Wales
92.2,2018,February,New South Wales
117.4,2018,March,New South Wales
54.7,2018,April,New South Wales
34.5,2018,May,New South Wales
276.4,2018,June,New South Wales
8.6,2018,July,New South Wales
9.8,2018,August,New South Wales
76,2018,September,New South Wales
156.6,2018,October,New South Wales
115.3,2018,November,New South Wales
93.3,2018,December,New South Wales
45.3,2019,January,New South Wales
92,2019,February,New South Wales
265.1,2019,March,New South Wales
16.8,2019,April,New South Wales
19.8,2019,May,New South Wales
244.6,2019,June,New South Wales
67,2019,July,New South Wales
70,2019,August,New South Wales
99.6,2019,September,New South Wales
24,2019,October,New South Wales
31.7,2019,November,New South Wales
8.5,2019,December,New South Wales
59.8,2020,January,New South Wales
389.5,2020,February,New South Wales
170.3,2020,March,New South Wales
36.4,2020,April,New South Wales
152.1,2020,May,New South Wales
116.8,2020,June,New South Wales
175.7,2020,July,New South Wales
87.2,2020,August,New South Wales
34.8,2020,September,New South Wales
89.1,2020,October,New South Wales
76.7,2020,November,New South Wales
121.6,2020,December,New South Wales
98,2021,January,New South Wales
120.1,2021,February,New South Wales
396.5,2021,March,New South Wales
61.5,2021,April,New South Wales
75.8,2021,May,New South Wales
94.1,2021,June,New South Wales
41.4,2021,July,New South Wales
98.2,2021,August,New South Wales
50.9,2021,September,New South Wales
62.4,2021,October,New South Wales
142.6,2021,November,New South Wales
159.4,2021,December,New South Wales
121.8,2022,January,New South Wales
422.1,2022,February,New South Wales
562.6,2022,March,New South Wales
326.2,2022,April,New South Wales
230,2022,May,New South Wales
24.2,2022,June,New South Wales
389.4,2022,July,New South Wales
86,2022,August,New South Wales
102.5,2022,September,New South Wales
225.2,2022,October,New South Wales
65.2,2022,November,New South Wales
64.8,2022,December,New South Wales
139,2023,January,New South Wales
168.2,2023,February,New South Wales
56.6,2023,March,New South Wales
137.2,2023,April,New South Wales
94,2023,May,New South Wales
16.9,2023,June,New South Wales
32.9,2023,July,New South Wales
81.2,2023,August,New South Wales
26.5,2023,September,New South Wales
36.4,2023,October,New South Wales
125.6,2023,November,New South Wales
167.4,2023,December,New South Wales
441.2,2000,January,Northern Territory
667.4,2000,February,Northern Territory
363.6,2000,March,Northern Territory
307.6,2000,April,Northern Territory
8.6,2000,May,Northern Territory
0.2,2000,June,Northern Territory
0,2000,July,Northern Territory
0,2000,August,Northern Territory
0.4,2000,September,Northern Territory
77.4,2000,October,Northern Territory
68.8,2000,November,Northern Territory
205.6,2000,December,Northern Territory
262.8,2001,January,Northern Territory
429.4,2001,February,Northern Territory
293.4,2001,March,Northern Territory
47.2,2001,April,Northern Territory
7.4,2001,May,Northern Territory
0,2001,June,Northern Territory
26.6,2001,July,Northern Territory
0,2001,August,Northern Territory
0,2001,September,Northern Territory
30.4,2001,October,Northern Territory
164.6,2001,November,Northern Territory
182,2001,December,Northern Territory
147.6,2002,January,Northern Territory
407.4,2002,February,Northern Territory
247.4,2002,March,Northern Territory
55.8,2002,April,Northern Territory
